Time,angle_ref,zmp_ref,zmp_ft,ka,ba,iter
9.37,-0.8005188704,0.0130000003,-0.01330100,9.9581012726,48.1734123230,313
9.40,-0.8858864903,0.0140000004,-0.01249090,9.9585485458,48.2460975647,314
9.43,-0.9571346045,0.0149999997,-0.00950170,9.9589519501,48.3115653992,315
9.46,-1.0305900574,0.0160000008,-0.00761208,9.9593210220,48.3713798523,316
9.49,-1.1312867403,0.0170000009,-0.00314621,9.9596614838,48.4264945984,317
9.52,-1.1944770813,0.0179999992,-0.00068426,9.9599771500,48.4775390625,318
9.55,-1.3172520399,0.0189999994,0.00427768,9.9602727890,48.5252952576,319
9.58,-1.3699502945,0.0199999996,0.00619684,9.9605503082,48.5700798035,320
9.61,-1.5041674376,0.0209999997,0.01126732,9.9608144760,48.6126747131,321
9.64,-1.5418790579,0.0219999999,0.01392012,9.9610652924,48.6530799866,322
9.67,-1.6884922981,0.0230000000,0.01968634,9.9613046646,48.6916122437,323
9.70,-1.7268612385,0.0240000002,0.02234132,9.9615345001,48.7285842896,324
9.73,-1.8793460131,0.0250000004,0.02695463,9.9617557526,48.7641448975,325
9.76,-1.9123910666,0.0260000005,0.02844968,9.9619693756,48.7984542847,326
9.79,-2.0543036461,0.0270000007,0.03117293,9.9621763229,48.8316650391,327
9.82,-2.0830941200,0.0280000009,0.03106627,9.9623775482,48.8639450073,328
9.86,-2.2072496414,0.0289999992,0.03089868,9.9625730515,48.8952789307,329
9.88,-2.2324995995,0.0299999993,0.03031708,9.9627647400,48.9259834290,330
9.91,-2.2527163029,0.0299999993,0.02890931,9.9627647400,48.9259834290,331
9.94,-2.2239634991,0.0299999993,0.02800718,9.9627647400,48.9259834290,332
9.97,-2.2283518314,0.0299999993,0.02802682,9.9627647400,48.9259834290,333
10.00,-2.2183241844,0.0299999993,0.02908581,9.9627647400,48.9259834290,334
10.04,-2.2265958786,0.0299999993,0.03324556,9.9627647400,48.9259834290,335
10.06,-2.2341048717,0.0299999993,0.03551830,9.9627647400,48.9259834290,336
10.10,-2.2773206234,0.0299999993,0.03803113,9.9627647400,48.9259834290,337
